Chosen atom: Atom: Y2, Position: [-2.206227  2.54016   1.972179]

((-6.03092, -4.17312, 8.91547), 1/2, -0.2748308, 'Y1')
((-6.63113, 5.8128, 7.47191), 1/2, -0.2748308, 'Y1')
((-3.74367, -10.89312, -1.2504), 1/2, -0.2748308, 'Y1')
((6.46908, -4.17312, 8.91547), 1/2, -0.2748308, 'Y1')
((-1.45642, 2.54688, -11.41627), 1/2, -0.2748308, 'Y1')
((9.89996, -0.9072, -6.33334), 1/2, -0.2748308, 'Y1')
((-11.13729, -0.81312, 3.83253), 1/2, -0.2748308, 'Y1')
((10.66245, -3.36, -3.94436), 1/2, -0.2748308, 'Y2')
((10.66245, 3.36, -3.94436), 1/2, -0.2748308, 'Y2')
((7.0125, 9.26688, 2.38898), 1/2, -0.2748308, 'Y1')
((-3.96275, 4.99968, -10.16587), 1/2, -0.2748308, 'Y2')
((3.96275, 4.99968, 10.16587), 1/2, -0.2748308, 'Y2')
((-2.98117, 11.71968, 1.13858), 1/2, -0.2748308, 'Y2')
((5.86887, -7.6272, 7.47191), 1/2, -0.2748308, 'Y1')
((-10.3748, 1.63968, 6.22151), 1/2, -0.2748308, 'Y2')
((-11.7375, 2.4528, 2.38898), 1/2, -0.2748308, 'Y1')
((-1.45642, -4.17312, -11.41627), 1/2, -0.2748308, 'Y1')
((-8.08755, 8.35968, -3.94436), 1/2, -0.2748308, 'Y2')
((-0.69392, -8.44032, -9.02729), 1/2, -0.2748308, 'Y2')
((-8.85004, 5.90688, -6.33334), 1/2, -0.2748308, 'Y1')
((9.29975, 2.54688, -7.77689), 1/2, -0.2748308, 'Y1')
((-5.10638, 10.08, -5.08294), 1/2, -0.2748308, 'Y2')
((5.10638, 10.08, 5.08293), 1/2, -0.2748308, 'Y2')
((-5.10638, -10.08, -5.08294), 1/2, -0.2748308, 'Y2')
((5.10638, -10.08, 5.08293), 1/2, -0.2748308, 'Y2')
((2.28725, -6.72, -10.16587), 1/2, -0.2748308, 'Y2')
((-2.28725, -6.72, 10.16587), 1/2, -0.2748308, 'Y2')
((2.28725, 6.72, -10.16587), 1/2, -0.2748308, 'Y2')
((-2.28725, 6.72, 10.16587), 1/2, -0.2748308, 'Y2')
((3.04975, 9.1728, -7.77689), 1/2, -0.2748308, 'Y1')
((-10.59388, 5.90688, -2.69396), 1/2, -0.2748308, 'Y1')
((-5.4875, -10.89312, 2.38898), 1/2, -0.2748308, 'Y1')
((-9.45025, 2.4528, -7.77689), 1/2, -0.2748308, 'Y1')
((-12.5, 0.0, 0.0), 1/2, -0.2748308, 'Y2')
((12.5, 0.0, 0.0), 1/2, -0.2748308, 'Y2')
((-3.20025, 9.26688, -7.77689), 1/2, -0.2748308, 'Y1')
((-4.1248, -10.08, 6.22151), 1/2, -0.2748308, 'Y2')
((-4.1248, 10.08, 6.22151), 1/2, -0.2748308, 'Y2')
((-11.35638, 1.63968, -5.08294), 1/2, -0.2748308, 'Y2')
((11.35638, 1.63968, 5.08293), 1/2, -0.2748308, 'Y2')
((5.55608, -6.72, -9.02729), 1/2, -0.2748308, 'Y2')
((5.55608, 6.72, -9.02729), 1/2, -0.2748308, 'Y2')
((-6.63113, -7.6272, 7.47191), 1/2, -0.2748308, 'Y1')
((-5.26842, -1.72032, 11.30445), 1/2, -0.2748308, 'Y2')
((4.79358, 2.4528, -11.41627), 1/2, -0.2748308, 'Y1')
((-11.7375, -4.2672, 2.38898), 1/2, -0.2748308, 'Y1')
((9.51883, -8.44032, 1.13858), 1/2, -0.2748308, 'Y2')
((0.21908, 9.1728, 8.91547), 1/2, -0.2748308, 'Y1')
((8.75633, 9.26688, -1.2504), 1/2, -0.2748308, 'Y1')
((9.29975, -4.17312, -7.77689), 1/2, -0.2748308, 'Y1')
((-1.52475, 2.4528, 12.55485), 1/2, -0.2748308, 'Y1')
((1.14362, -11.80032, -5.08294), 1/2, -0.2748308, 'Y2')
((-1.14362, -11.80032, 5.08293), 1/2, -0.2748308, 'Y2')
((-9.45025, -4.2672, -7.77689), 1/2, -0.2748308, 'Y1')
((1.90612, 12.62688, -2.69396), 1/2, -0.2748308, 'Y1')
((-2.05663, -0.9072, -12.85982), 1/2, -0.2748308, 'Y1')
((4.79358, -4.2672, -11.41627), 1/2, -0.2748308, 'Y1')
((9.89996, 5.8128, -6.33334), 1/2, -0.2748308, 'Y1')
((-10.3748, -5.08032, 6.22151), 1/2, -0.2748308, 'Y2')
((7.0125, -10.89312, 2.38898), 1/2, -0.2748308, 'Y1')
((-11.13729, 5.90688, 3.83253), 1/2, -0.2748308, 'Y1')
((0.98158, 6.72, 11.30445), 1/2, -0.2748308, 'Y2')
((0.98158, -6.72, 11.30445), 1/2, -0.2748308, 'Y2')
((4.41245, -11.80032, -3.94436), 1/2, -0.2748308, 'Y2')
((-6.94392, -6.72, -9.02729), 1/2, -0.2748308, 'Y2')
((-6.94392, 6.72, -9.02729), 1/2, -0.2748308, 'Y2')
((-8.85004, -7.53312, -6.33334), 1/2, -0.2748308, 'Y1')
((1.36271, 12.62688, 3.83253), 1/2, -0.2748308, 'Y1')
((-10.59388, -7.53312, -2.69396), 1/2, -0.2748308, 'Y1')
((-6.25, 11.71968, 0.0), 1/2, -0.2748308, 'Y2')
((6.25, 11.71968, 0.0), 1/2, -0.2748308, 'Y2')
((-1.52475, -4.2672, 12.55485), 1/2, -0.2748308, 'Y1')
((-8.53725, -1.72032, 10.16587), 1/2, -0.2748308, 'Y2')
((8.53725, -1.72032, -10.16587), 1/2, -0.2748308, 'Y2')
((-5.26842, 4.99968, 11.30445), 1/2, -0.2748308, 'Y2')
((-11.35638, -5.08032, -5.08294), 1/2, -0.2748308, 'Y2')
((11.35638, -5.08032, 5.08293), 1/2, -0.2748308, 'Y2')
((0.0, -13.44, 0.0), 1/2, -0.2748308, 'Y2')
((0.0, 13.44, 0.0), 1/2, -0.2748308, 'Y2')
((-7.39362, -10.08, 5.08293), 1/2, -0.2748308, 'Y2')
((-7.39362, 10.08, 5.08293), 1/2, -0.2748308, 'Y2')
((7.39362, -10.08, -5.08294), 1/2, -0.2748308, 'Y2')
((7.39362, 10.08, -5.08294), 1/2, -0.2748308, 'Y2')
((2.1252, -11.80032, 6.22151), 1/2, -0.2748308, 'Y2')
((7.23158, -1.72032, 11.30445), 1/2, -0.2748308, 'Y2')
((-4.34388, 12.5328, -2.69396), 1/2, -0.2748308, 'Y1')
((4.19337, -0.81312, -12.85982), 1/2, -0.2748308, 'Y1')
((-9.99367, 9.1728, -1.2504), 1/2, -0.2748308, 'Y1')
((4.72525, 2.54688, 12.55485), 1/2, -0.2748308, 'Y1')
((13.2625, 2.4528, 2.38898), 1/2, -0.2748308, 'Y1')
((-3.20025, -10.89312, -7.77689), 1/2, -0.2748308, 'Y1')
((-3.96275, -8.44032, -10.16587), 1/2, -0.2748308, 'Y2')
((3.96275, -8.44032, 10.16587), 1/2, -0.2748308, 'Y2')
((3.04975, -10.9872, -7.77689), 1/2, -0.2748308, 'Y1')
((3.26883, -13.44, 1.13858), 1/2, -0.2748308, 'Y2')
((3.26883, 13.44, 1.13858), 1/2, -0.2748308, 'Y2')
((-11.13729, -7.53312, 3.83253), 1/2, -0.2748308, 'Y1')
((-4.88729, 12.5328, 3.83253), 1/2, -0.2748308, 'Y1')
((-7.70642, 2.4528, -11.41627), 1/2, -0.2748308, 'Y1')
((9.89996, -7.6272, -6.33334), 1/2, -0.2748308, 'Y1')
((8.75633, -10.89312, -1.2504), 1/2, -0.2748308, 'Y1')
((4.72525, -4.17312, 12.55485), 1/2, -0.2748308, 'Y1')
((-0.92454, -0.81312, 13.9984), 1/2, -0.2748308, 'Y1')
((13.2625, -4.2672, 2.38898), 1/2, -0.2748308, 'Y1')
((0.21908, -10.9872, 8.91547), 1/2, -0.2748308, 'Y1')
((-8.53725, 4.99968, 10.16587), 1/2, -0.2748308, 'Y2')
((8.53725, 4.99968, -10.16587), 1/2, -0.2748308, 'Y2')
((-12.5, -6.72, 0.0), 1/2, -0.2748308, 'Y2')
((-12.5, 6.72, 0.0), 1/2, -0.2748308, 'Y2')
((12.5, -6.72, 0.0), 1/2, -0.2748308, 'Y2')
