Chosen atom: Atom: Y, Position: [-0.       -1.779575  0.786162]

((-14.2366, -3.55915, -1.57232), 1/2, -0.2748308, 'Y')
((-14.2366, 3.55915, -1.57232), 1/2, -0.2748308, 'Y')
((14.2366, -3.55915, -1.57232), 1/2, -0.2748308, 'Y')
((14.2366, 3.55915, -1.57232), 1/2, -0.2748308, 'Y')
((-3.55915, -14.2366, 1.57233), 1/2, -0.2748308, 'Y')
((3.55915, -14.2366, 1.57233), 1/2, -0.2748308, 'Y')
((-14.2366, -3.55915, 1.57233), 7/2, 1.4711, 'V')
((-14.2366, 3.55915, 1.57233), 7/2, 1.4711, 'V')
((14.2366, -3.55915, 1.57233), 7/2, 1.4711, 'V')
((14.2366, 3.55915, 1.57233), 7/2, 1.4711, 'V')
((-3.55915, -14.2366, -1.57232), 7/2, 1.4711, 'V')
((3.55915, -14.2366, -1.57232), 7/2, 1.4711, 'V')
((-3.55915, 14.2366, 1.57233), 1/2, -0.2748308, 'Y')
((3.55915, 14.2366, 1.57233), 1/2, -0.2748308, 'Y')
((-3.55915, 14.2366, -1.57232), 7/2, 1.4711, 'V')
((3.55915, 14.2366, -1.57232), 7/2, 1.4711, 'V')
((-7.1183, -10.67745, -7.86162), 1/2, -0.2748308, 'Y')
((-7.1183, 10.67745, -7.86162), 1/2, -0.2748308, 'Y')
((7.1183, -10.67745, -7.86162), 1/2, -0.2748308, 'Y')
((7.1183, 10.67745, -7.86162), 1/2, -0.2748308, 'Y')
((-10.67745, -7.1183, 7.86162), 1/2, -0.2748308, 'Y')
((-10.67745, 7.1183, 7.86162), 1/2, -0.2748308, 'Y')
((10.67745, -7.1183, 7.86162), 1/2, -0.2748308, 'Y')
((10.67745, 7.1183, 7.86162), 1/2, -0.2748308, 'Y')
((-7.1183, -10.67745, 7.86162), 7/2, 1.4711, 'V')
((-7.1183, 10.67745, 7.86162), 7/2, 1.4711, 'V')
((7.1183, -10.67745, 7.86162), 7/2, 1.4711, 'V')
((7.1183, 10.67745, 7.86162), 7/2, 1.4711, 'V')
((-10.67745, -7.1183, -7.86162), 7/2, 1.4711, 'V')
((-10.67745, 7.1183, -7.86162), 7/2, 1.4711, 'V')
((10.67745, -7.1183, -7.86162), 7/2, 1.4711, 'V')
((10.67745, 7.1183, -7.86162), 7/2, 1.4711, 'V')
((-10.67745, -10.67745, 0.0), 7/2, 1.4711, 'V')
((-10.67745, 10.67745, 0.0), 7/2, 1.4711, 'V')
((10.67745, -10.67745, 0.0), 7/2, 1.4711, 'V')
((10.67745, 10.67745, 0.0), 7/2, 1.4711, 'V')
((0.0, -10.67745, 11.00628), 1/2, -0.2748308, 'Y')
((0.0, 10.67745, 11.00628), 1/2, -0.2748308, 'Y')
((-10.67745, 0.0, -11.00627), 1/2, -0.2748308, 'Y')
((10.67745, 0.0, -11.00627), 1/2, -0.2748308, 'Y')
((0.0, -10.67745, -11.00627), 7/2, 1.4711, 'V')
((0.0, 10.67745, -11.00627), 7/2, 1.4711, 'V')
((-10.67745, 0.0, 11.00628), 7/2, 1.4711, 'V')
((10.67745, 0.0, 11.00628), 7/2, 1.4711, 'V')
((-14.2366, -3.55915, 4.71698), 1/2, -0.2748308, 'Y')
((-14.2366, 3.55915, 4.71698), 1/2, -0.2748308, 'Y')
((14.2366, -3.55915, 4.71698), 1/2, -0.2748308, 'Y')
((14.2366, 3.55915, 4.71698), 1/2, -0.2748308, 'Y')
((-3.55915, -14.2366, -4.71697), 1/2, -0.2748308, 'Y')
((-3.55915, 14.2366, -4.71697), 1/2, -0.2748308, 'Y')
((3.55915, -14.2366, -4.71697), 1/2, -0.2748308, 'Y')
((3.55915, 14.2366, -4.71697), 1/2, -0.2748308, 'Y')
((-14.2366, -3.55915, -4.71697), 7/2, 1.4711, 'V')
((-14.2366, 3.55915, -4.71697), 7/2, 1.4711, 'V')
((14.2366, -3.55915, -4.71697), 7/2, 1.4711, 'V')
((14.2366, 3.55915, -4.71697), 7/2, 1.4711, 'V')
((-3.55915, -14.2366, 4.71698), 7/2, 1.4711, 'V')
((-3.55915, 14.2366, 4.71698), 7/2, 1.4711, 'V')
((3.55915, -14.2366, 4.71698), 7/2, 1.4711, 'V')
((3.55915, 14.2366, 4.71698), 7/2, 1.4711, 'V')
((-10.67745, -10.67745, -3.14465), 1/2, -0.2748308, 'Y')
