# lower_burn_idx, upper_idx, energy, intensity
0 16 2.4898e+00 1.1851e-05
0 18 2.4987e+00 1.9643e-08
6 4 -4.7741e-02 -2.8281e-08
6 6 -3.8903e-02 -7.5286e-06
6 8 -3.0064e-02 -3.0156e-08
6 22 2.4863e+00 -4.6597e-08
8 6 -4.8924e-02 -7.5293e-06
8 8 -4.0085e-02 -1.8795e-03
8 9 -3.8611e-02 -8.8987e-07
8 10 -3.1246e-02 -7.0596e-06
8 22 2.4763e+00 -4.3810e-08
8 24 2.4851e+00 -1.1636e-05
8 26 2.4939e+00 -4.1479e-08
9 9 -4.0039e-02 -8.8985e-07
10 8 -5.0106e-02 -2.6521e-08
10 10 -4.1267e-02 -7.0673e-06
10 12 -3.2429e-02 -2.1230e-08
10 26 2.4839e+00 -4.3757e-08
22 22 7.5744e-02 -4.0376e-08
24 8 -2.4506e+00 -5.2392e-08
24 22 6.5723e-02 -3.7988e-08
24 24 7.4564e-02 -9.9486e-06
24 26 8.3405e-02 -3.5616e-08
26 26 7.3384e-02 -3.7549e-08
0 0 -3.6829e-02 1.9165e-03
0 1 -3.5355e-02 9.0727e-07
0 2 -2.7990e-02 3.3462e-06
0 16 2.4883e+00 1.1851e-05
0 18 2.4972e+00 1.9643e-08
7 5 -4.9169e-02 -2.8281e-08
7 7 -4.0330e-02 -7.5285e-06
7 9 -3.1491e-02 -3.0155e-08
7 23 2.4849e+00 -4.6598e-08
8 8 -4.1559e-02 -8.8987e-07
9 7 -5.0351e-02 -7.5293e-06
9 8 -4.2986e-02 -8.8985e-07
9 9 -4.1513e-02 -1.8795e-03
9 11 -3.2674e-02 -7.0596e-06
9 23 2.4748e+00 -4.3810e-08
9 25 2.4837e+00 -1.1636e-05
9 27 2.4925e+00 -4.1479e-08
11 9 -5.1534e-02 -2.6521e-08
11 11 -4.2695e-02 -7.0673e-06
11 13 -3.3856e-02 -2.1230e-08
11 27 2.4825e+00 -4.3758e-08
23 23 7.4316e-02 -4.0376e-08
25 9 -2.4520e+00 -5.2392e-08
25 23 6.4295e-02 -3.7988e-08
25 25 7.3136e-02 -9.9486e-06
25 27 8.1977e-02 -3.5616e-08
27 27 7.1956e-02 -3.7549e-08
0 0 -4.4194e-02 1.9165e-03
0 1 -4.2721e-02 9.0727e-07
0 2 -3.5355e-02 3.3462e-06
0 16 2.4810e+00 1.1851e-05
0 18 2.4898e+00 1.9643e-08
8 6 -5.7763e-02 -2.8280e-08
8 8 -4.8924e-02 -7.0596e-06
8 10 -4.0085e-02 -2.6516e-08
8 24 2.4763e+00 -4.3703e-08
10 8 -5.8945e-02 -7.0673e-06
10 10 -5.0106e-02 -1.8833e-03
10 11 -4.8633e-02 -8.9167e-07
10 12 -4.1267e-02 -5.6574e-06
10 24 2.4662e+00 -4.1129e-08
