# gs_idx, es_idx, energy, intensity
16 17 5.4240e-02 9.3896e-07
16 18 6.1607e-02 3.2241e-06
12 10 -7.7805e-02 -1.0041e-08
12 12 -6.8966e-02 -3.3489e-06
12 28 2.4562e+00 -2.0673e-08
14 12 -7.8988e-02 -3.3593e-06
14 14 -7.0149e-02 -1.9241e-03
14 15 -6.8675e-02 -9.1104e-07
14 28 2.4462e+00 -1.9495e-08
14 30 2.4550e+00 -1.1878e-05
15 15 -7.0103e-02 -9.1101e-07
28 28 4.5688e-02 -1.7913e-08
30 14 -2.4807e+00 -5.3698e-08
30 28 3.5667e-02 -1.6905e-08
30 30 4.4508e-02 -1.0156e-05
0 0 -6.3345e-02 1.9386e-03
0 1 -6.1872e-02 9.1770e-07
0 2 -5.4507e-02 3.3847e-06
0 16 2.4618e+00 1.1951e-05
0 18 2.4707e+00 1.9808e-08
16 0 -2.4739e+00 1.0228e-05
16 2 -2.4650e+00 1.8096e-08
16 16 5.1293e-02 1.9370e-03
16 17 5.2766e-02 9.3896e-07
16 18 6.0134e-02 3.2241e-06
13 11 -7.9233e-02 -1.0041e-08
13 13 -7.0394e-02 -3.3489e-06
13 29 2.4548e+00 -2.0673e-08
14 14 -7.1622e-02 -9.1104e-07
15 13 -8.0415e-02 -3.3593e-06
15 14 -7.3050e-02 -9.1101e-07
15 15 -7.1576e-02 -1.9241e-03
15 29 2.4448e+00 -1.9495e-08
15 31 2.4536e+00 -1.1878e-05
29 29 4.4260e-02 -1.7913e-08
31 15 -2.4821e+00 -5.3699e-08
31 29 3.4239e-02 -1.6905e-08
31 31 4.3080e-02 -1.0156e-05
1 0 0.0000e+00 9.1768e-07
1 1 1.4736e-03 1.9386e-03
1 3 1.0312e-02 3.3847e-06
1 17 2.5267e+00 1.1951e-05
1 19 2.5355e+00 1.9808e-08
17 1 -2.4091e+00 1.0228e-05
17 3 -2.4002e+00 1.8097e-08
17 16 1.1464e-01 9.3894e-07
17 17 1.1611e-01 1.9370e-03
17 19 1.2495e-01 3.2241e-06
0 0 1.4276e-03 -1.9241e-03
0 1 2.9012e-03 -9.1086e-07
0 2 1.0266e-02 -3.3594e-06
0 16 2.5266e+00 -1.1862e-05
0 18 2.5354e+00 -1.9661e-08
2 2 2.4516e-04 -3.3497e-06
2 4 9.0840e-03 -1.0043e-08
2 18 2.5254e+00 -2.0658e-08
16 0 -2.4091e+00 -5.3560e-08
16 16 1.1607e-01 -1.0143e-05
16 18 1.2491e-01 -1.6884e-08
18 18 1.1489e-01 -1.7728e-08
1 0 -1.4736e-03 9.1768e-07
1 1 0.0000e+00 1.9386e-03
1 3 8.8388e-03 3.3847e-06
1 17 2.5252e+00 1.1951e-05
1 19 2.5340e+00 1.9808e-08
17 1 -2.4105e+00 1.0228e-05
17 3 -2.4017e+00 1.8097e-08
17 16 1.1316e-01 9.3894e-07
17 17 1.1464e-01 1.9370e-03
17 19 1.2348e-01 3.2241e-06
0 0 -4.6035e-05 -9.1086e-07
3 3 -1.1824e-03 -3.3497e-06
3 5 7.6564e-03 -1.0043e-08
3 19 2.5240e+00 -2.0658e-08
19 19 1.1346e-01 -1.7728e-08
1 0 -8.8388e-03 9.1768e-07
1 1 -7.3652e-03 1.9386e-03
1 3 1.4736e-03 3.3847e-06
1 17 2.5178e+00 1.1951e-05
1 19 2.5267e+00 1.9808e-08
17 1 -2.4179e+00 1.0228e-05
17 3 -2.4091e+00 1.8097e-08
17 16 1.0580e-01 9.3894e-07
17 17 1.0727e-01 1.9370e-03
17 19 1.1611e-01 3.2241e-06
0 0 -7.4113e-03 -3.3594e-06
0 16 2.5178e+00 -2.0710e-08
2 0 -1.7433e-02 -3.3497e-06
2 2 -8.5937e-03 -1.9126e-03
2 3 -7.1201e-03 -9.0545e-07
2 4 2.4516e-04 -5.7345e-06
2 16 2.5077e+00 -1.9417e-08
2 18 2.5166e+00 -1.1795e-05
2 20 2.5254e+00 -3.3569e-08
3 3 -8.5476e-03 -9.0543e-07
4 2 -1.8615e-02 -1.7197e-08
4 4 -9.7761e-03 -5.7236e-06
4 6 -9.3724e-04 -2.1477e-08
4 20 2.5154e+00 -3.5308e-08
16 16 1.0723e-01 -1.7947e-08
18 2 -2.4191e+00 -5.3257e-08
18 16 9.7207e-02 -1.6838e-08
18 18 1.0605e-01 -1.0086e-05
18 20 1.1489e-01 -2.8826e-08
20 20 1.0487e-01 -3.0299e-08
1 0 -1.0312e-02 9.1768e-07
1 1 -8.8388e-03 1.9386e-03
1 3 0.0000e+00 3.3847e-06
1 17 2.5163e+00 1.1951e-05
1 19 2.5252e+00 1.9808e-08
17 1 -2.4194e+00 1.0228e-05
17 3 -2.4105e+00 1.8097e-08
17 16 1.0433e-01 9.3894e-07
17 17 1.0580e-01 1.9370e-03
17 19 1.1464e-01 3.2241e-06
2 2 -1.0067e-02 -9.0545e-07
3 1 -1.8860e-02 -3.3497e-06
3 2 -1.1495e-02 -9.0543e-07
3 3 -1.0021e-02 -1.9126e-03
3 5 -1.1824e-03 -5.7345e-06
3 17 2.5063e+00 -1.9418e-08
3 19 2.5152e+00 -1.1795e-05
3 21 2.5240e+00 -3.3569e-08
5 3 -2.0042e-02 -1.7197e-08
5 5 -1.1204e-02 -5.7236e-06
5 7 -2.3648e-03 -2.1477e-08
5 21 2.5140e+00 -3.5308e-08
19 3 -2.4206e+00 -5.3258e-08
19 17 9.5779e-02 -1.6838e-08
19 19 1.0462e-01 -1.0086e-05
19 21 1.1346e-01 -2.8827e-08
21 21 1.0344e-01 -3.0300e-08
1 0 -1.7678e-02 9.1768e-07
1 1 -1.6204e-02 1.9386e-03
1 3 -7.3652e-03 3.3847e-06
1 17 2.5090e+00 1.1951e-05
1 19 2.5178e+00 1.9808e-08
17 1 -2.4267e+00 1.0228e-05
17 3 -2.4179e+00 1.8097e-08
17 16 9.6961e-02 9.3894e-07
17 17 9.8434e-02 1.9370e-03
17 19 1.0727e-01 3.2241e-06
2 0 -2.6271e-02 -1.0043e-08
2 2 -1.7433e-02 -5.7345e-06
2 4 -8.5937e-03 -1.7194e-08
2 18 2.5077e+00 -3.5364e-08
4 2 -2.7454e-02 -5.7236e-06
4 4 -1.8615e-02 -1.9050e-03
4 5 -1.7141e-02 -9.0186e-07
4 6 -9.7761e-03 -7.1483e-06
4 18 2.4977e+00 -3.3187e-08
4 20 2.5066e+00 -1.1752e-05
4 22 2.5154e+00 -4.1855e-08
5 5 -1.8569e-02 -9.0184e-07
6 4 -2.8636e-02 -2.6829e-08
6 6 -1.9797e-02 -7.1419e-06
6 8 -1.0958e-02 -2.8607e-08
6 22 2.5054e+00 -4.4068e-08
18 18 9.7209e-02 -3.0645e-08
20 4 -2.4292e+00 -5.3062e-08
20 18 8.7188e-02 -2.8778e-08
20 20 9.6029e-02 -1.0048e-05
20 22 1.0487e-01 -3.5940e-08
22 22 9.4849e-02 -3.7816e-08
1 0 -1.9151e-02 9.1768e-07
1 1 -1.7678e-02 1.9386e-03
1 3 -8.8388e-03 3.3847e-06
1 17 2.5075e+00 1.1951e-05
1 19 2.5163e+00 1.9808e-08
17 1 -2.4282e+00 1.0228e-05
17 3 -2.4194e+00 1.8097e-08
17 16 9.5487e-02 9.3894e-07
17 17 9.6960e-02 1.9370e-03
17 19 1.0580e-01 3.2241e-06
3 1 -2.7699e-02 -1.0043e-08
3 3 -1.8860e-02 -5.7345e-06
3 5 -1.0021e-02 -1.7194e-08
3 19 2.5063e+00 -3.5365e-08
4 4 -2.0089e-02 -9.0186e-07
5 3 -2.8881e-02 -5.7236e-06
5 4 -2.1516e-02 -9.0184e-07
5 5 -2.0042e-02 -1.9050e-03
5 7 -1.1204e-02 -7.1483e-06
5 19 2.4963e+00 -3.3187e-08
5 21 2.5051e+00 -1.1752e-05
5 23 2.5140e+00 -4.1855e-08
7 5 -3.0064e-02 -2.6829e-08
7 7 -2.1225e-02 -7.1419e-06
7 9 -1.2386e-02 -2.8607e-08
7 23 2.5040e+00 -4.4068e-08
19 19 9.5781e-02 -3.0645e-08
21 5 -2.4306e+00 -5.3063e-08
21 19 8.5760e-02 -2.8778e-08
21 21 9.4601e-02 -1.0048e-05
21 23 1.0344e-01 -3.5941e-08
23 23 9.3421e-02 -3.7816e-08
1 0 -2.6517e-02 9.1768e-07
1 1 -2.5043e-02 1.9386e-03
1 3 -1.6204e-02 3.3847e-06
1 17 2.5001e+00 1.1951e-05
1 19 2.5090e+00 1.9808e-08
17 1 -2.4356e+00 1.0228e-05
17 3 -2.4267e+00 1.8097e-08
17 16 8.8122e-02 9.3894e-07
17 17 8.9595e-02 1.9370e-03
17 19 9.8436e-02 3.2241e-06
4 2 -3.6293e-02 -2.1477e-08
4 4 -2.7454e-02 -7.1483e-06
4 6 -1.8615e-02 -2.6824e-08
4 20 2.4977e+00 -4.4097e-08
6 4 -3.7475e-02 -7.1419e-06
6 6 -2.8636e-02 -1.9012e-03
6 7 -2.7163e-02 -9.0008e-07
6 8 -1.9797e-02 -7.6152e-06
6 20 2.4877e+00 -4.1420e-08
6 22 2.4965e+00 -1.1731e-05
6 24 2.5054e+00 -4.4598e-08
7 7 -2.8590e-02 -9.0006e-07
8 6 -3.8657e-02 -3.0509e-08
8 8 -2.9819e-02 -7.6159e-06
8 10 -2.0980e-02 -2.8605e-08
8 24 2.4954e+00 -4.7002e-08
20 20 8.7190e-02 -3.8210e-08
22 6 -2.4392e+00 -5.2975e-08
22 20 7.7169e-02 -3.5916e-08
22 22 8.6010e-02 -1.0030e-05
22 24 9.4851e-02 -3.8295e-08
24 24 8.4830e-02 -4.0333e-08
1 0 -2.7990e-02 9.1768e-07
1 1 -2.6517e-02 1.9386e-03
1 3 -1.7678e-02 3.3847e-06
1 17 2.4987e+00 1.1951e-05
1 19 2.5075e+00 1.9808e-08
17 1 -2.4371e+00 1.0228e-05
17 3 -2.4282e+00 1.8097e-08
17 16 8.6648e-02 9.3894e-07
17 17 8.8121e-02 1.9370e-03
17 19 9.6962e-02 3.2241e-06
5 3 -3.7720e-02 -2.1477e-08
5 5 -2.8881e-02 -7.1483e-06
