# gs_idx, es_idx, energy, intensity
15 19 -2.4158e-02 -1.9018e-06
15 43 2.4833e+00 -1.0344e-08
15 47 2.4922e+00 -2.9297e-06
15 51 2.5010e+00 -1.1138e-08
19 19 -3.4179e-02 -1.9020e-06
19 51 2.4910e+00 -1.1739e-08
47 15 -2.4435e+00 -1.3230e-08
47 47 8.1650e-02 -2.5050e-06
51 51 8.0470e-02 -1.0073e-08
0 0 -3.5355e-02 4.8439e-04
0 1 -3.3882e-02 2.2931e-07
0 2 -3.3840e-02 2.5021e-07
0 4 -2.6517e-02 8.4573e-07
0 32 2.4898e+00 2.9862e-06
32 0 -2.4459e+00 2.5557e-06
32 32 7.9283e-02 4.8400e-04
32 33 8.0756e-02 2.3462e-07
32 34 8.0799e-02 2.4414e-07
32 36 8.8123e-02 8.0563e-07
12 12 -3.8903e-02 -1.9018e-06
12 44 2.4863e+00 -1.1735e-08
16 12 -4.8924e-02 -1.9020e-06
16 16 -4.0085e-02 -4.7480e-04
16 17 -3.8611e-02 -2.2479e-07
16 18 -3.8570e-02 -2.4525e-07
16 20 -3.1246e-02 -1.7834e-06
16 44 2.4763e+00 -1.1033e-08
16 48 2.4851e+00 -2.9304e-06
16 52 2.4939e+00 -1.0446e-08
17 17 -4.0039e-02 -2.2479e-07
18 18 -4.0075e-02 -2.4525e-07
20 20 -4.1267e-02 -1.7853e-06
20 52 2.4839e+00 -1.1020e-08
44 44 7.5743e-02 -1.0169e-08
48 16 -2.4506e+00 -1.3235e-08
48 48 7.4564e-02 -2.5055e-06
0 0 -3.6829e-02 4.8439e-04
0 1 -3.5355e-02 2.2931e-07
0 2 -3.5314e-02 2.5021e-07
0 4 -2.7990e-02 8.4573e-07
0 32 2.4883e+00 2.9862e-06
32 0 -2.4474e+00 2.5557e-06
32 32 7.7809e-02 4.8400e-04
32 33 7.9282e-02 2.3462e-07
32 34 7.9325e-02 2.4414e-07
32 36 8.6650e-02 8.0563e-07
13 13 -4.0330e-02 -1.9018e-06
13 45 2.4849e+00 -1.1735e-08
16 16 -4.1559e-02 -2.2479e-07
17 13 -5.0351e-02 -1.9020e-06
17 16 -4.2986e-02 -2.2479e-07
17 17 -4.1513e-02 -4.7480e-04
17 19 -3.9997e-02 -2.4525e-07
17 21 -3.2674e-02 -1.7834e-06
17 45 2.4748e+00 -1.1033e-08
17 49 2.4837e+00 -2.9304e-06
17 53 2.4925e+00 -1.0446e-08
19 19 -4.1502e-02 -2.4525e-07
21 21 -4.2695e-02 -1.7853e-06
21 53 2.4825e+00 -1.1020e-08
45 45 7.4315e-02 -1.0169e-08
49 17 -2.4520e+00 -1.3236e-08
49 49 7.3136e-02 -2.5055e-06
0 0 -3.6871e-02 4.8439e-04
0 1 -3.5397e-02 2.2931e-07
0 2 -3.5355e-02 2.5021e-07
0 4 -2.8032e-02 8.4573e-07
0 32 2.4883e+00 2.9862e-06
32 0 -2.4474e+00 2.5557e-06
32 32 7.7767e-02 4.8400e-04
32 33 7.9240e-02 2.3462e-07
32 34 7.9284e-02 2.4414e-07
32 36 8.6608e-02 8.0563e-07
14 14 -4.0408e-02 -1.9018e-06
14 46 2.4848e+00 -1.1735e-08
16 16 -4.1600e-02 -2.4525e-07
18 14 -5.0429e-02 -1.9020e-06
18 16 -4.3106e-02 -2.4525e-07
18 18 -4.1590e-02 -4.7480e-04
18 19 -4.0117e-02 -2.2479e-07
18 22 -3.2751e-02 -1.7834e-06
18 46 2.4748e+00 -1.1033e-08
18 50 2.4836e+00 -2.9303e-06
18 54 2.4924e+00 -1.0446e-08
19 19 -4.1544e-02 -2.2479e-07
22 22 -4.2773e-02 -1.7853e-06
22 54 2.4824e+00 -1.1020e-08
46 46 7.4239e-02 -1.0168e-08
50 18 -2.4521e+00 -1.3235e-08
50 50 7.3059e-02 -2.5054e-06
0 0 -3.8344e-02 4.8439e-04
0 1 -3.6871e-02 2.2931e-07
0 2 -3.6829e-02 2.5021e-07
0 4 -2.9506e-02 8.4573e-07
0 32 2.4868e+00 2.9862e-06
32 0 -2.4489e+00 2.5557e-06
32 32 7.6294e-02 4.8400e-04
32 33 7.7767e-02 2.3462e-07
32 34 7.7810e-02 2.4414e-07
32 36 8.5134e-02 8.0563e-07
15 15 -4.1835e-02 -1.9018e-06
15 47 2.4833e+00 -1.1735e-08
17 17 -4.3028e-02 -2.4525e-07
18 18 -4.3064e-02 -2.2479e-07
19 15 -5.1857e-02 -1.9020e-06
19 17 -4.4533e-02 -2.4525e-07
19 18 -4.4491e-02 -2.2479e-07
19 19 -4.3018e-02 -4.7480e-04
19 23 -3.4179e-02 -1.7834e-06
19 47 2.4733e+00 -1.1033e-08
19 51 2.4822e+00 -2.9303e-06
19 55 2.4910e+00 -1.0446e-08
23 23 -4.4200e-02 -1.7853e-06
23 55 2.4810e+00 -1.1020e-08
47 47 7.2811e-02 -1.0168e-08
51 19 -2.4536e+00 -1.3235e-08
51 51 7.1631e-02 -2.5054e-06
0 0 -4.4194e-02 4.8439e-04
0 1 -4.2721e-02 2.2931e-07
0 2 -4.2679e-02 2.5021e-07
0 4 -3.5355e-02 8.4573e-07
0 32 2.4810e+00 2.9862e-06
32 0 -2.4547e+00 2.5557e-06
32 32 7.0444e-02 4.8400e-04
32 33 7.1917e-02 2.3462e-07
32 34 7.1960e-02 2.4414e-07
32 36 7.9285e-02 8.0563e-07
